LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,0.5NAVGFPS+0.5PE,NAVGFPSPE,NAA,NAG,NAP
3,2,2,1,5,4,5,5,5,4,5,1000,44,4,5,M,18 to 25,4.39441077,0.5151515152,0.8486026925,0.6818771038,0.6089390266,0.5,0.5,0
3,2,2,1,5,3,3,3,4,3,3,1000,41,4,6,F,18 to 25,3.12360583,0.4242424242,0.5309014575,0.4775719409,0.3283690466,0.5,0.5,0
3,2,2,1,5,3,3,3,5,4,4,1000,43,4,7,F,18 to 25,3.76721952,0.4848484848,0.69180488,0.5883266824,0.4804672862,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,0.7727272727,0.7337025407,0.5,0.5,0
3,2,2,1,5,4,5,5,5,5,5,324,45,5,9,F,18 to 25,4.85432801,0.5454545455,0.9635820025,0.754518274,0.7086963277,0.5,0.5,0
3,2,2,1,5,5,4,3,4,5,4,1000,42,4,10,F,12 to 17,4.48678558,0.4545454545,0.871696395,0.6631209248,0.5831813771,0.5,0.5,0
3,2,2,1,5,5,4,4,5,4,5,1000,44,2,11,M,18 to 25,4.32936844,0.5151515152,0.83234211,0.6737468126,0.5977737892,0.5,0.5,0
3,2,2,1,5,4,4,3,2,3,3,1000,43,4,12,M,18 to 25,3.11397683,0.4848484848,0.5284942075,0.5066713462,0.3683309323,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,5,1000,37,5,13,M,18 to 25,5,0.303030303,1,0.6515151515,0.5672432994,0.5,0.5,0
3,2,2,1,5,5,4,4,5,5,5,1000,42,5,14,F,18 to 25,4.78928568,0.4545454545,0.94732142,0.7009334373,0.6351088748,0.5,0.5,0
3,2,2,1,5,5,4,4,5,5,5,1000,41,3,15,F,18 to 25,4.78928568,0.4242424242,0.94732142,0.6857819221,0.6143014696,0.5,0.5,0
3,2,2,1,5,4,3,3,4,5,4,1000,38,4,16,F,18 to 25,4.24920292,0.3333333333,0.81230073,0.5728170317,0.4591680574,0.5,0.5,0
3,2,2,1,5,1,5,4,4,4,4,1000,40,3,17,M,18 to 25,3.6548947,0.3939393939,0.663723675,0.5288315345,0.3987632694,0.5,0.5,0
3,2,2,1,5,3,4,4,4,3,4,1000,39,3,18,F,18 to 25,3.39441077,0.3636363636,0.5986026925,0.4811195281,0.3332409082,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,5,261,42,2,19,F,18 to 25,5,0.4545454545,1,0.7272727273,0.6712803252,0.5,0.5,0
3,2,2,1,5,5,5,5,5,4,5,1000,43,1,20,F,18 to 25,4.54008276,0.4848484848,0.88502069,0.6849345874,0.6131378344,0.5,0.5,0
3,2,2,1,5,5,4,4,4,5,5,983,45,3,21,F,18 to 25,4.66567985,0.5454545455,0.9164199625,0.730937254,0.6763127784,0.5,0.5,0
3,2,2,1,5,2,4,3,5,4,3,1000,44,3,22,M,12 to 17,3.65336758,0.5151515152,0.663341895,0.5892467051,0.481730743,0.5,0.5,0
3,2,2,1,5,2,3,3,2,3,3,1000,44,4,23,F,12 to 17,2.73072218,0.5151515152,0.432680545,0.4739160301,0.3233484255,0.5,0.5,0
3,2,2,1,5,3,3,4,4,5,3,1000,42,4,24,F,18 to 25,4.16224396,0.4545454545,0.79056099,0.6225532223,0.527470208,0.5,0.5,0
4,1,1,2,4,1,5,5,2,3,3,1000,56,5,1,F,18 to 25,3.00647883,0.8787878788,0.5016197075,0.6902037931,0.6203739753,0,0,0.5
4,1,1,2,4,5,4,4,5,5,5,1000,53,5,2,F,18 to 25,4.78928568,0.7878787879,0.94732142,0.8676001039,0.8639903316,0,0,0.5
4,1,1,2,4,1,4,4,4,5,4,1000,53,3,3,M,18 to 25,4.02290127,0.7878787879,0.7557253175,0.7718020527,0.7324319464,0,0,0.5
4,1,1,2,4,2,3,3,4,3,4,1000,51,3,4,F,12 to 17,3.03802446,0.7272727273,0.509506115,0.6183894211,0.5217521068,0,0,0.5
4,1,1,2,4,1,2,2,2,2,2,1000,57,4,5,M,18 to 25,1.85432801,0.9090909091,0.2135820025,0.5613364558,0.4434019119,0,0,0.5
4,1,1,2,4,1,3,3,3,3,3,1000,48,4,6,F,18 to 25,2.70865602,0.6363636364,0.427164005,0.5317638207,0.402790145,0,0,0.5
4,1,1,2,4,1,3,3,5,4,4,1000,52,4,7,F,18 to 25,3.47587554,0.7575757576,0.618968885,0.6882723213,0.6177215068,0,0,0.5
4,1,1,2,4,3,4,5,5,5,5,1000,53,3,8,M,12 to 17,4.61674535,0.7878787879,0.9041863375,0.8460325627,0.83437187,0,0,0.5
4,1,1,2,4,1,5,5,5,5,5,398,59,5,9,F,18 to 25,4.41731204,0.9696969697,0.85432801,0.9120124898,0.9249813611,0,0,0.5
4,1,1,2,4,1,3,4,4,5,3,1000,55,4,10,F,12 to 17,3.87089998,0.8484848485,0.717724995,0.7831049217,0.7479540492,0,0,0.5
4,1,1,2,4,2,4,4,2,3,4,100,54,2,11,M,18 to 25,3.00152712,0.8181818182,0.50038178,0.6592817991,0.577909149,0,0,0.5
4,1,1,2,4,1,3,5,5,3,3,1000,56,4,12,M,18 to 25,3.19347498,0.8787878788,0.548368745,0.7135783119,0.6524739387,0,0,0.5
4,1,1,2,4,1,5,5,4,5,4,890,52,5,13,M,18 to 25,4.23361559,0.7575757576,0.8084038975,0.7829898275,0.7477959916,0,0,0.5
4,1,1,2,4,3,4,5,5,5,5,1000,50,5,14,F,18 to 25,4.61674535,0.696969697,0.9041863375,0.8005780172,0.7719496545,0,0,0.5
4,1,1,2,4,1,4,4,5,5,4,1000,54,3,15,F,18 to 25,4.1465071,0.8181818182,0.786626775,0.8024042966,0.7744576634,0,0,0.5
4,1,1,2,4,2,3,4,5,5,3,1000,51,4,16,F,18 to 25,4.1401778,0.7272727273,0.78504445,0.7561585886,0.7109489534,0,0,0.5
4,1,1,2,4,1,5,2,1,1,2,1000,51,3,17,M,18 to 25,1.54653695,0.7272727273,0.1366342375,0.4319534824,0.2657217312,0,0,0.5
4,1,1,2,4,3,4,2,4,3,3,925,53,3,18,F,18 to 25,3.09671285,0.7878787879,0.5241782125,0.6560285002,0.5734414303,0,0,0.5
4,1,1,2,4,5,5,5,5,5,5,1000,52,2,19,F,18 to 25,5,0.7575757576,1,0.8787878788,0.8793543768,0,0,0.5
4,1,1,2,4,1,4,5,3,4,3,1000,56,1,20,F,18 to 25,3.49809123,0.8787878788,0.6245228075,0.7516553431,0.704764697,0,0,0.5
4,1,1,2,4,3,4,4,4,5,4,1000,59,3,21,F,18 to 25,4.31424525,0.9696969697,0.8285613125,0.8991291411,0.9072888033,0,0,0.5
4,1,1,2,4,3,4,3,5,4,4,1000,49,3,22,M,12 to 17,3.85913019,0.6666666667,0.7147825475,0.6907246071,0.6210892032,0,0,0.5
4,1,1,2,4,3,3,4,3,4,3,559,57,4,23,F,12 to 17,3.57872089,0.9090909091,0.6446802225,0.7768855658,0.7394130777,0,0,0.5
4,1,1,2,4,3,4,4,4,4,4,1000,50,4,24,F,18 to 25,3.85432801,0.696969697,0.7135820025,0.7052758497,0.6410722609,0,0,0.5
5,3,2,1,6,5,5,1,5,5,5,1000,44,5,1,F,18 to 25,4.5247854,0.5151515152,0.88119635,0.6981739326,0.631319278,1,0.5,0
5,3,2,1,6,4,5,5,4,5,5,1000,43,5,2,F,18 to 25,4.73072218,0.4848484848,0.932680545,0.7087645149,0.6458632055,1,0.5,0
5,3,2,1,6,3,5,4,4,5,4,1000,43,3,3,M,18 to 25,4.40615592,0.4848484848,0.85153898,0.6681937324,0.5901478067,1,0.5,0
