LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
4,1,1,2,4,2,4,4,2,3,4,100,54,2,11,M,18 to 25,3.00152712,0.8181818182,0.50038178,,,,
4,1,1,2,4,1,3,5,5,3,3,1000,56,4,12,M,18 to 25,3.19347498,0.8787878788,0.548368745,,,,
4,1,1,2,4,1,5,5,4,5,4,890,52,5,13,M,18 to 25,4.23361559,0.7575757576,0.8084038975,,,,
4,1,1,2,4,3,4,5,5,5,5,1000,50,5,14,F,18 to 25,4.61674535,0.696969697,0.9041863375,,,,
4,1,1,2,4,1,4,4,5,5,4,1000,54,3,15,F,18 to 25,4.1465071,0.8181818182,0.786626775,,,,
4,1,1,2,4,2,3,4,5,5,3,1000,51,4,16,F,18 to 25,4.1401778,0.7272727273,0.78504445,,,,
4,1,1,2,4,1,5,2,1,1,2,1000,51,3,17,M,18 to 25,1.54653695,0.7272727273,0.1366342375,,,,
4,1,1,2,4,3,4,2,4,3,3,925,53,3,18,F,18 to 25,3.09671285,0.7878787879,0.5241782125,,,,
4,1,1,2,4,5,5,5,5,5,5,1000,52,2,19,F,18 to 25,5,0.7575757576,1,,,,
4,1,1,2,4,1,4,5,3,4,3,1000,56,1,20,F,18 to 25,3.49809123,0.8787878788,0.6245228075,,,,
4,1,1,2,4,3,4,4,4,5,4,1000,59,3,21,F,18 to 25,4.31424525,0.9696969697,0.8285613125,,,,
4,1,1,2,4,3,4,3,5,4,4,1000,49,3,22,M,12 to 17,3.85913019,0.6666666667,0.7147825475,,,,
4,1,1,2,4,3,3,4,3,4,3,559,57,4,23,F,12 to 17,3.57872089,0.9090909091,0.6446802225,,,,
4,1,1,2,4,3,4,4,4,4,4,1000,50,4,24,F,18 to 25,3.85432801,0.696969697,0.7135820025,,,,
