LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
19,1,1,1,1,1,1,1,1,1,1000,53,4,5,M,A,1,0.84,0,0.42,0,0,0
20,3,1,3,1,4,5,5,5,5,1000,46,5,1,F,A,4.166666667,0.56,0.7916666667,0.6758333333,1,0,1
20,3,1,3,3,3,3,4,4,3,1000,52,5,2,F,A,3.333333333,0.8,0.5833333333,0.6916666667,1,0,1
20,3,1,3,2,3,4,5,5,4,1000,52,3,3,M,A,3.833333333,0.8,0.7083333333,0.7541666667,1,0,1
20,3,1,3,2,3,3,3,4,3,1000,55,3,4,F,T,3,0.92,0.5,0.71,1,0,1
20,3,1,3,1,1,5,4,4,3,809,55,4,5,M,A,3,0.92,0.5,0.71,1,0,1
21,1,2,1,1,4,1,5,5,5,1000,45,5,1,F,A,3.5,0.52,0.625,0.5725,0,0.5,0
21,1,2,1,3,5,5,4,4,4,1000,43,5,2,F,A,4.166666667,0.44,0.7916666667,0.6158333333,0,0.5,0
21,1,2,1,2,3,3,5,5,4,1000,44,3,3,M,A,3.666666667,0.48,0.6666666667,0.5733333333,0,0.5,0
21,1,2,1,1,3,2,2,3,2,1000,42,3,4,F,T,2.166666667,0.4,0.2916666667,0.3458333333,0,0.5,0
21,1,2,1,1,5,4,3,3,3,1000,44,4,5,M,A,3.166666667,0.48,0.5416666667,0.5108333333,0,0.5,0
22,1,3,1,1,4,5,5,5,5,1000,44,5,1,F,A,4.166666667,0.48,0.7916666667,0.6358333333,0,1,0
22,1,3,1,3,5,5,4,4,4,1000,43,5,2,F,A,4.166666667,0.44,0.7916666667,0.6158333333,0,1,0
22,1,3,1,2,3,4,5,4,4,1000,43,3,3,M,A,3.666666667,0.44,0.6666666667,0.5533333333,0,1,0
22,1,3,1,1,2,2,2,2,2,1000,44,3,4,F,T,1.833333333,0.48,0.2083333333,0.3441666667,0,1,0
22,1,3,1,1,5,1,2,1,2,1000,42,4,5,M,A,2,0.4,0.25,0.325,0,1,0
23,3,2,3,5,4,5,5,5,5,1000,44,5,1,F,A,4.833333333,0.48,0.9583333333,0.7191666667,1,0.5,1
23,3,2,3,5,5,5,5,5,5,1000,44,5,2,F,A,5,0.48,1,0.74,1,0.5,1
23,3,2,3,3,4,4,5,5,4,1000,43,3,3,M,A,4.166666667,0.44,0.7916666667,0.6158333333,1,0.5,1
23,3,2,3,3,3,3,3,3,3,1000,44,3,4,F,T,3,0.48,0.5,0.49,1,0.5,1
23,3,2,3,4,4,5,4,3,4,944,43,4,5,M,A,4,0.44,0.75,0.595,1,0.5,1
24,3,2,2,1,5,5,5,4,5,1000,45,5,1,F,A,4.166666667,0.52,0.7916666667,0.6558333333,1,0.5,0.5
24,3,2,2,3,5,5,4,4,4,1000,43,5,2,F,A,4.166666667,0.44,0.7916666667,0.6158333333,1,0.5,0.5
24,3,2,2,2,4,4,4,5,4,1000,44,3,3,M,A,3.833333333,0.48,0.7083333333,0.5941666667,1,0.5,0.5
24,3,2,2,4,4,3,4,4,3,1000,43,3,4,F,T,3.666666667,0.44,0.6666666667,0.5533333333,1,0.5,0.5
24,3,2,2,2,4,4,4,4,4,1000,42,4,5,M,A,3.666666667,0.4,0.6666666667,0.5333333333,1,0.5,0.5
25,3,1,1,2,4,5,5,5,5,1000,51,5,1,F,A,4.333333333,0.76,0.8333333333,0.7966666667,1,0,0
25,3,1,1,3,5,5,4,4,4,1000,52,5,2,F,A,4.166666667,0.8,0.7916666667,0.7958333333,1,0,0
25,3,1,1,2,4,4,4,5,4,1000,52,3,3,M,A,3.833333333,0.8,0.7083333333,0.7541666667,1,0,0
25,3,1,1,3,3,2,3,2,3,1000,55,3,4,F,T,2.666666667,0.92,0.4166666667,0.6683333333,1,0,0
25,3,1,1,1,2,1,1,2,1,997,53,4,5,M,A,1.333333333,0.84,0.08333333333,0.4616666667,1,0,0
26,1,3,2,1,3,5,5,4,4,1000,44,5,1,F,A,3.666666667,0.48,0.6666666667,0.5733333333,0,1,0.5
26,1,3,2,3,5,5,4,4,4,1000,43,5,2,F,A,4.166666667,0.44,0.7916666667,0.6158333333,0,1,0.5
26,1,3,2,2,4,3,4,4,4,1000,43,3,3,M,A,3.5,0.44,0.625,0.5325,0,1,0.5
26,1,3,2,1,3,3,4,3,3,1000,43,3,4,F,T,2.833333333,0.44,0.4583333333,0.4491666667,0,1,0.5
26,1,3,2,1,5,5,5,5,4,1000,42,4,5,M,A,4.166666667,0.4,0.7916666667,0.5958333333,0,1,0.5
27,1,3,3,1,3,5,5,3,4,1000,43,5,1,F,A,3.5,0.44,0.625,0.5325,0,1,1
27,1,3,3,3,5,5,4,4,4,1000,44,5,2,F,A,4.166666667,0.48,0.7916666667,0.6358333333,0,1,1
27,1,3,3,2,5,5,5,5,5,1000,43,3,3,M,A,4.5,0.44,0.875,0.6575,0,1,1
27,1,3,3,1,3,3,3,3,2,952,44,3,4,F,T,2.5,0.48,0.375,0.4275,0,1,1
27,1,3,3,1,5,4,4,4,4,1000,43,4,5,M,A,3.666666667,0.44,0.6666666667,0.5533333333,0,1,1
