LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
10,3,3,1,7,1,3,4,3,2,3,1000,39,3,18,F,18 to 25,,,,,,,
10,3,3,1,7,4,5,5,5,5,5,1000,41,2,19,F,18 to 25,,,,,,,
10,3,3,1,7,2,4,5,4,4,4,1000,43,1,20,F,18 to 25,,,,,,,
10,3,3,1,7,2,4,3,3,3,3,950,44,3,21,F,18 to 25,,,,,,,
10,3,3,1,7,3,2,1,2,1,2,1000,41,3,22,M,12 to 17,,,,,,,
10,3,3,1,7,4,3,2,3,3,3,548,43,4,23,F,12 to 17,,,,,,,
10,3,3,1,7,2,3,1,3,4,3,1000,35,4,24,F,18 to 25,,,,,,,
11,2,3,2,7,5,4,5,4,5,4,1000,44,5,1,F,18 to 25,,,,,,,
11,2,3,2,7,5,5,5,5,5,5,1000,45,5,2,F,18 to 25,,,,,,,
11,2,3,2,7,4,4,3,5,5,4,1000,42,3,3,M,18 to 25,,,,,,,
11,2,3,2,7,1,4,4,4,2,3,1000,45,3,4,F,12 to 17,,,,,,,
11,2,3,2,7,5,5,4,4,4,4,1000,40,4,5,M,18 to 25,,,,,,,
11,2,3,2,7,4,3,3,3,3,3,392,41,4,6,F,18 to 25,,,,,,,
11,2,3,2,7,4,3,3,5,4,5,1000,44,4,7,F,18 to 25,,,,,,,
11,2,3,2,7,5,5,5,5,5,5,1000,44,3,8,M,12 to 17,,,,,,,
11,2,3,2,7,4,5,5,5,5,5,1000,45,5,9,F,18 to 25,,,,,,,
11,2,3,2,7,5,5,5,5,5,5,1000,43,4,10,F,12 to 17,,,,,,,
11,2,3,2,7,4,5,5,4,4,5,1000,42,2,11,M,18 to 25,,,,,,,
11,2,3,2,7,4,5,4,4,4,4,1000,42,4,12,M,18 to 25,,,,,,,
11,2,3,2,7,5,5,5,5,5,5,1000,41,5,13,M,18 to 25,,,,,,,
11,2,3,2,7,4,5,5,5,5,4,1000,41,5,14,F,18 to 25,,,,,,,
11,2,3,2,7,2,3,5,5,5,4,1000,44,3,15,F,18 to 25,,,,,,,
11,2,3,2,7,5,4,4,5,5,5,1000,39,4,16,F,18 to 25,,,,,,,
11,2,3,2,7,3,4,4,4,4,4,1000,38,3,17,M,18 to 25,,,,,,,
11,2,3,2,7,3,4,3,4,3,3,1000,40,3,18,F,18 to 25,,,,,,,
11,2,3,2,7,2,5,5,4,5,4,749,41,2,19,F,18 to 25,,,,,,,
11,2,3,2,7,5,5,5,5,5,5,1000,43,1,20,F,18 to 25,,,,,,,
11,2,3,2,7,5,3,4,4,4,4,1000,44,3,21,F,18 to 25,,,,,,,
11,2,3,2,7,5,4,3,4,2,3,1000,39,3,22,M,12 to 17,,,,,,,
11,2,3,2,7,2,4,4,4,3,4,961,44,4,23,F,12 to 17,,,,,,,
11,2,3,2,7,3,3,3,3,4,3,1000,42,4,24,F,18 to 25,,,,,,,
